연료별 국가 고유 발열량(에너지법 시행규칙 별표),,,,,,,,,,,,,,,,,,,,,,
연료명,연료 단위,단위,,총발열량,순발열량,"이산화탄소 배출계수
(kgCO₂/TJ)",메탄 배출계수(kgCH₄/TJ),,,,,,,아산화질소 배출계수(kgN₂O/TJ),,,,,,,,단위
,,에너지법 시행규칙 상,TJ로 환산시,,,,에너지산업,제조업,건설업,상업,공공,가정,기타,에너지산업,제조업,건설업,상업,공공,가정,기타,,
※ 출처: 온실가스 배출권거래제의 배출량 보고 및 인증에 관한 지침 [별표 6] 배출활동별 온실가스 배출량 등의 세부산정방법 및 기준 / [별표 12] 연료별 국가 고유 발열량 및 배출계수,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
외부에서 공급받는 에너지,,,,,,,,,,,,,,,,,,,,,,
연료 종류,단위,"전기 : CO₂(tCO₂/MWh)
스팀 : CO₂(kgCO₂/TJ)","전기 : CH₄(kgCH₄/MWh)
스팀 : CH₄(kgCH₄/TJ)","전기 : N₂O(kgN₂O/MWh)
스팀 : N₂O(kgN₂O/TJ)","전기 : tCO₂/MWh
스팀 : tCO₂/TJ",,,,,,,,,,,,,,,,,
전기(소비기준),kWh,0.4567,0.0036,0.0085,0.4594,,,,,,,,,* 미국 전기 배출계수,,,,,,,,
스팀(열전용),MJ,"56,373",1.278,0.166,56.452,,,,,,,,,국가,단위,lbCO₂/MWh,lbCH₄/MWh,lbN₂O/MWh,tCO₂/MWh,tCH₄/MWh,tN₂O/MWh, tCO₂/MWh
스팀(열병합),MJ,"60,760",2.053,0.549,60.974,,,,,,,,,전기(미국_몽고메리),kWh,893.3,0.064,0.009,0.405193734,2.90299E-05,4.08233E-06,0.407068883
스팀(일반),MJ,"59,510",1.832,0.44,59.685,,,,,,,,,전기(미국_조지아) ,kWh,893.3,0.064,0.009,0.405193734,2.90299E-05,4.08233E-06,0.407068883
[참고] 1cal=4.1868J,,,,,,,,,,,,,,전기(미국_알라바마) ,kWh,893.3,0.064,0.009,0.405193734,2.90299E-05,4.08233E-06,0.407068883
※ 출처: 온실가스 배출권거래제의 배출량 보고 및 인증에 관한 지침 [별표 6] 배출활동별 온실가스 배출량 등의 세부산정방법 및 기준,,,,,,,,,,,,,,,,,,,,,,
